,,,,,,,,flux-7,flu-12,flu-13,flu-14,flu-15,,,,
,,,,,,,,,flu-11t,,flux-4,flu-16,flu-17,flu-18,flu-19,flu-20
flux-1,,,,,flux-2,,,,flu-11,,,,flux-5,,flux-6,
1-1,flu-1,flu-2,flu-3,flu-4,flu-5,flu-7,,flux-3,flu-10,,,,,,,
,,,,,,,flu-6,flu-8,flu-9,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,ps-1,ps-2,ps-3,ps-4,ps-5,,,,,,
,,,,,,ps-6,ps-7,ps-8,ps-9,ps-10,,,,,,
,,,,,,ps-11,ps-12,ps-13,ps-14,ps-15,,,,,,
,,,,,,ps-16,ps-17,ps-18,ps-19,ps-20,,,,,,
li-6,li-5,,,,,,,,,,,,,,,
,li-4,li-3,,,,,,,,,,,,,,
,li-1,li-2,lix-1,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,tube-1,,,,,,,,,,,,,,
,,tube-2,tube-3,,,,,,,,,,,,,
,,,tube-4,,,,,,,,,,,,,
,,,tube-5,,,,,,,,,,,,,
